歌手,歌曲数,总播放量,平均热度,上榜次数,榜单
KEY.L刘聪,1,0,,1,['巅峰榜·流行指数']
KBShinya/三无Marblue,1,0,,1,['巅峰榜·内地']
KARD (카드),1,0,,1,['巅峰榜·新歌']
KALEO,1,0,,1,['巅峰榜·流行指数']
KAI (金钟仁)/SEULGI (슬기)/JENO (제노)/KARINA (카리나),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
LINX,1,0,,1,['巅峰榜·内地']
LBI利比（时柏尘）/杨玙瑶,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
LBI利比（时柏尘）/Tyson Yoshi,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
LBI利比（时柏尘）,6,0,,7,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
K邵庄/狙击黄雀,2,0,,2,['巅峰榜·内地']
Kord,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
KnowKnow,1,0,,1,['巅峰榜·内地']
Kito/Bea Miller,1,0,,1,['巅峰榜·流行指数']
Kirsty刘瑾睿,3,0,,3,['巅峰榜·内地']
Kidult.,1,0,,1,['巅峰榜·内地']
KidNam索南/曲甲,1,0,,1,['巅峰榜·新歌']
Kep1er (케플러),2,0,,2,['巅峰榜·新歌']
Kenxo,2,0,,2,['巅峰榜·内地']
Kent王健,1,0,,1,['巅峰榜·新歌']
Ken-,1,0,,1,['巅峰榜·新歌']
Kelly Clarkson,1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
Lil Von,1,0,,1,['巅峰榜·内地']
Lil Nas X/Billy Ray Cyrus/Young Thug/Mason Ramsey,1,0,,1,['巅峰榜·流行指数']
Lil Nas X,2,0,,2,['巅峰榜·新歌']
Lil E/Nick.Y,1,0,,1,['巅峰榜·内地']
LightYear光年,1,0,,1,['巅峰榜·内地']
Lifesaver救命稻草,1,0,,1,['巅峰榜·内地']
Liam NY,1,0,,1,['巅峰榜·内地']
Li-2c（李楚楚）,4,0,,3,"['巅峰榜·流行指数', '巅峰榜·内地']"
Levinti/陈婕/小巫女,1,0,,1,['巅峰榜·内地']
Levinti/陈婕,1,0,,1,['巅峰榜·内地']
Levinti/电音联盟,1,0,,1,['巅峰榜·内地']
Levinti,1,0,,1,['巅峰榜·内地']
Levii1/YUKIKI,1,0,,1,['巅峰榜·内地']
Lambert凌杰/Woo,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Lambert凌杰,1,0,,1,['巅峰榜·新歌']
LISA (리사),3,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
LunaLiu刘不语,2,0,,2,['巅峰榜·内地']
Lukie.Y,1,0,,1,['巅峰榜·内地']
Lucid Keys,1,0,,1,['巅峰榜·新歌']
Lost Frequencies/Janieck,1,0,,1,['巅峰榜·新歌']
Loong/艾里克,1,0,,1,['巅峰榜·内地']
Loong,1,0,,1,['巅峰榜·内地']
LoneyZ,1,0,,1,['巅峰榜·流行指数']
Li敖,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Li仔,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
LizzYtoo,3,0,,3,['巅峰榜·内地']
Liu筱毅,1,0,,1,['巅峰榜·流行指数']
Lion’ss莱恩汜,1,0,,1,['巅峰榜·新歌']
Lin Nabel,1,0,,1,['巅峰榜·新歌']
Lil w1nE,1,0,,1,['巅峰榜·内地']
Lil Zkay,1,0,,1,['巅峰榜·内地']
Lil Yo,1,0,,1,['巅峰榜·新歌']
MEOVV (미야오),1,0,,1,['巅峰榜·新歌']
MC梦 (MC몽)/Mellow (멜로우),1,0,,1,['巅峰榜·热歌']
MC HotDog 热狗/马念先,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
MAYI.,1,0,,1,['巅峰榜·内地']
MAREA/说唱者联盟,1,0,,1,['巅峰榜·内地']
MAREA/沈默亞SHEN/说唱者联盟,1,0,,1,['巅峰榜·内地']
MAREA/wweimm微米,2,0,,2,['巅峰榜·内地']
