歌曲名,歌手,榜单,总播放量,平均热度,上榜次数,最佳排名,榜单排名
Deadman,蔡徐坤,['巅峰榜·热歌'],0,,1,0,159
Daylight (汤姆先生变速版),汤姆先生,['巅峰榜·新歌'],0,,1,0,160
Daydream,AxR,['巅峰榜·流行指数'],0,,1,0,161
Dancing All Night,沈默亞SHEN,['巅峰榜·内地'],0,,1,0,162
Dance With Me,Levii1/YUKIKI,['巅峰榜·内地'],0,,1,0,163
Damn！迟到了！！！（prod.rilbeats）,毛孩,['巅峰榜·内地'],0,,1,0,164
Da Da Da (甜妹版),芊芊龍,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,165
DTTM,TF家族/TOP登陆少年-张泽禹,['巅峰榜·新歌'],0,,1,0,166
DRIP,BABYMONSTER (베이비몬스터),['巅峰榜·流行指数'],0,,1,0,167
DREAM,BABYMONSTER (베이비몬스터),['巅峰榜·流行指数'],0,,1,0,168
DON'T WASTE MY TIME,洛克GLOCO/王梓力,['巅峰榜·内地'],0,,1,0,169
DICE,NMIXX (엔믹스),['巅峰榜·新歌'],0,,1,0,170
Dramma&Dreamer,Youngior,['巅峰榜·内地'],0,,1,0,171
Downtown,R3HAB/Kelvin Jones,['巅峰榜·新歌'],0,,1,0,172
Down For Life,Tamboss,['巅峰榜·新歌'],0,,1,0,173
Down For Life,MK电音,['巅峰榜·新歌'],0,,1,0,174
Down (非半音版),吴姝凝哇噻呐,['巅峰榜·内地'],0,,1,0,175
Don’t get low (Prod by张杰峻),时间VANESSA,['巅峰榜·内地'],0,,1,0,176
Don't fight the feeling,EXO (엑소),['巅峰榜·新歌'],0,,1,0,177
Doll,菲菲公主（陆绮菲）,['巅峰榜·流行指数'],0,,1,0,178
Ditto – 250 Remix,NewJeans (뉴진스),['巅峰榜·新歌'],0,,1,0,179
Ditto,NewJeans (뉴진스),"['巅峰榜·热歌', '巅峰榜·新歌']",0,,1,0,180
Dirty Work,aespa (에스파),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,2,0,181
Diamonds Only,威神V(WayV),['巅峰榜·新歌'],0,,1,0,182
Diamond,TRI.BE (트라이비),['巅峰榜·流行指数'],0,,1,0,183
Deja Vu,Lil E/Nick.Y,['巅峰榜·内地'],0,,1,0,184
Defend,Mayk,['巅峰榜·内地'],0,,1,0,185
Deepseek (满血版),Z.Yeshu,['巅峰榜·内地'],0,,1,0,186
Espresso (On Vacation Version),Sabrina Carpenter,['巅峰榜·热歌'],0,,1,0,187
Erased spring,尔尼,['巅峰榜·内地'],0,,1,0,188
Either Way,IVE (아이브),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,189
Echoes,冼家逴,['巅峰榜·内地'],0,,1,0,190
Easy On My Heart,Gabry Ponte,['巅峰榜·新歌'],0,,1,0,191
Easy,不敢想象/说唱者联盟,['巅峰榜·内地'],0,,1,0,192
Easy,Troye Sivan/Kacey Musgraves/Mark Ronson,['巅峰榜·新歌'],0,,1,0,193
EYES ON U,Ashencodez,['巅峰榜·内地'],0,,1,0,194
ENERGY!,NIA杨心予,['巅峰榜·内地'],0,,1,0,195
EM20#Freestyle (Explicit),邓典果DDG,['巅峰榜·内地'],0,,1,0,196
Dạ Vũ (夜舞) (夜舞),Tăng Duy Tân/BAE,['巅峰榜·流行指数'],0,,1,0,197
Déjà Vu,Yves V/INNA/Janieck,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,198
Duvet,Various Artists,['巅峰榜·流行指数'],0,,1,0,199
Dumb Dumb Bomb,THE9,['巅峰榜·新歌'],0,,1,0,200
Drown (Alle Farben Remix),Martin Garrix/Clinton Kane/Alle Farben,['巅峰榜·流行指数'],0,,1,0,201
Dreams Come True,aespa (에스파),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,202
Fiction,BEAST (비스트),['巅峰榜·流行指数'],0,,1,0,203
Feel My Rhythm,Red Velvet (레드벨벳),['巅峰榜·新歌'],0,,1,0,204
Fast Cars & Superstars,Nicholas Witt,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,205
Fast Cars & Superstars,Cristian Marchi/Reverend Haus,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,1,0,206
Falling You,曾可妮/都智文,['巅峰榜·热歌'],0,,1,0,207
Falling Tide,Bo Peep/CR_Twenty-six,['巅峰榜·内地'],0,,1,0,208
Fall in love,罗锟/石杨,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,209
Faded,Alan Walker,['巅峰榜·流行指数'],0,,1,0,210
FaSHioN,CORTIS,['巅峰榜·新歌'],0,,1,0,211
FRAGMENT,DAZI,['巅峰榜·内地'],0,,1,0,212
FOREVER,BABYMONSTER (베이비몬스터),['巅峰榜·流行指数'],0,,1,0,213
FAMOUS,ALLDAY PROJECT,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,214
F!J!,Dr.Free,['巅峰榜·内地'],0,,1,0,215
Eyes For You,贺峻霖,['巅峰榜·新歌'],0,,1,0,216
Everywhere We Go,陈冠希/MC仁/厨房仔/应采儿,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,3,0,217
